Annotation Cluster 1	Enrichment Score: 3.873228675461401
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0002694~regulation of leukocyte activation	12	10.909090909090908	4.6169580774371316E-10	CBLB, IL2RA, TBX21, STAT5B, NDFIP1, TNFRSF14, RORA, INPP5D, IL21, TNFRSF4, SCGB1A1, LAG3	73	154	13588	14.504180750756094	4.561553392790074E-7	4.561553392790074E-7	7.283435077276579E-7
GOTERM_BP_FAT	GO:0050865~regulation of cell activation	12	10.909090909090908	5.302463598972114E-10	CBLB, IL2RA, TBX21, STAT5B, NDFIP1, TNFRSF14, RORA, INPP5D, IL21, TNFRSF4, SCGB1A1, LAG3	73	156	13588	14.318229715489988	5.238833084009187E-7	2.6194168856186195E-7	8.364848258501922E-7
GOTERM_BP_FAT	GO:0051249~regulation of lymphocyte activation	11	10.0	3.994406349533732E-9	CBLB, IL2RA, TBX21, STAT5B, NDFIP1, TNFRSF14, INPP5D, IL21, TNFRSF4, SCGB1A1, LAG3	73	144	13588	14.218797564687975	3.9464657054510965E-6	1.3154902990253348E-6	6.301334987135476E-6
GOTERM_BP_FAT	GO:0050670~regulation of lymphocyte proliferation	8	7.2727272727272725	2.033258073209468E-7	CBLB, IL2RA, STAT5B, NDFIP1, TNFRSF14, INPP5D, TNFRSF4, SCGB1A1	73	80	13588	18.613698630136984	2.0086574181199524E-4	5.02202184318179E-5	3.2075407957465885E-4
GOTERM_BP_FAT	GO:0032944~regulation of mononuclear cell proliferation	8	7.2727272727272725	2.033258073209468E-7	CBLB, IL2RA, STAT5B, NDFIP1, TNFRSF14, INPP5D, TNFRSF4, SCGB1A1	73	80	13588	18.613698630136984	2.0086574181199524E-4	5.02202184318179E-5	3.2075407957465885E-4
GOTERM_BP_FAT	GO:0070663~regulation of leukocyte proliferation	8	7.2727272727272725	2.412982864425502E-7	CBLB, IL2RA, STAT5B, NDFIP1, TNFRSF14, INPP5D, TNFRSF4, SCGB1A1	73	82	13588	18.15970598062145	2.3837432011453163E-4	4.7679410458467686E-5	3.8065698148015414E-4
GOTERM_BP_FAT	GO:0051250~negative regulation of lymphocyte activation	7	6.363636363636363	3.006599876426916E-7	CBLB, IL2RA, NDFIP1, TNFRSF14, INPP5D, SCGB1A1, LAG3	73	52	13588	25.05690200210748	2.9700799687748525E-4	4.9507459879860605E-5	4.7430205514231716E-4
GOTERM_BP_FAT	GO:0002695~negative regulation of leukocyte activation	7	6.363636363636363	3.376315538570356E-7	CBLB, IL2RA, NDFIP1, TNFRSF14, INPP5D, SCGB1A1, LAG3	73	53	13588	24.584130266218658	3.3352439986111815E-4	4.7653154765736616E-5	5.326258986304566E-4
GOTERM_BP_FAT	GO:0050866~negative regulation of cell activation	7	6.363636363636363	3.376315538570356E-7	CBLB, IL2RA, NDFIP1, TNFRSF14, INPP5D, SCGB1A1, LAG3	73	53	13588	24.584130266218658	3.3352439986111815E-4	4.7653154765736616E-5	5.326258986304566E-4
GOTERM_BP_FAT	GO:0050672~negative regulation of lymphocyte proliferation	6	5.454545454545454	1.0407780185215473E-6	CBLB, IL2RA, NDFIP1, TNFRSF14, INPP5D, SCGB1A1	73	35	13588	31.909197651663405	0.0010277607092453733	1.2852789176198698E-4	0.001641856163936417
GOTERM_BP_FAT	GO:0070664~negative regulation of leukocyte proliferation	6	5.454545454545454	1.0407780185215473E-6	CBLB, IL2RA, NDFIP1, TNFRSF14, INPP5D, SCGB1A1	73	35	13588	31.909197651663405	0.0010277607092453733	1.2852789176198698E-4	0.001641856163936417
GOTERM_BP_FAT	GO:0032945~negative regulation of mononuclear cell proliferation	6	5.454545454545454	1.0407780185215473E-6	CBLB, IL2RA, NDFIP1, TNFRSF14, INPP5D, SCGB1A1	73	35	13588	31.909197651663405	0.0010277607092453733	1.2852789176198698E-4	0.001641856163936417
GOTERM_BP_FAT	GO:0002684~positive regulation of immune system process	10	9.090909090909092	1.3237727995954803E-6	CBLB, IL2RA, PLCG1, THEMIS, TBX21, STAT5B, INPP5D, IL21, TNFRSF4, LAG3	73	206	13588	9.03577603404708	0.0013070334784065496	1.4531037383347378E-4	0.0020882839068314674
GOTERM_BP_FAT	GO:0050868~negative regulation of T cell activation	6	5.454545454545454	2.6498936562269135E-6	CBLB, IL2RA, NDFIP1, TNFRSF14, SCGB1A1, LAG3	73	42	13588	26.59099804305284	0.0026146741706054577	2.617755709194425E-4	0.0041802309773242285
GOTERM_BP_FAT	GO:0002683~negative regulation of immune system process	7	6.363636363636363	2.9213003451471256E-6	CBLB, IL2RA, NDFIP1, TNFRSF14, INPP5D, SCGB1A1, LAG3	73	76	13588	17.144196106705117	0.0028820877447157667	2.6235184853729E-4	0.004608368219927161
