Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d Tcell-CD69neg-K99A10-22h-ES Tcell-CD69neg-nopept-22h-ES Tcell-CD69neg-PCC01-22h-ES Tcell-CD69neg-PCC1-22h-ES Tcell-CD69pos-K99A100-22h-ES Tcell-CD69pos-K99A10-22h-ES Tcell-CD69pos-PCC01-22h-ES Tcell-CD69pos-PCC1-22h-ES -rpkm -condenseGenes)	Tcell-CD69pos-K99A10-22h-ES FPKM	Tcell-CD69pos-K99A100-22h-ES FPKM	Tcell-CD69pos-PCC01-22h-ES FPKM	Tcell-CD69pos-PCC1-22h-ES FPKM	gene_name
NM_030680	0.08	46.049	75.245	58.683	Upf1
NM_023374	0.0	0.0	56.22	69.806	Sdhb
NM_198609	0.0	48.128	74.721	59.135	Rsl24d1
NM_026472	0.0	86.935	78.57300000000001	57.574	Nifk
NM_001288578	0.0	3.194	58.597	68.51100000000001	Adh5
NM_025272	0.0	8.786	59.05	68.582	Atp6v0e
NM_010073	0.0	0.0	69.682	61.536	Dpm2
NM_153554	0.10400000000000001	39.741	64.592	65.991	Aldh18a1
NM_001080981	0.0	26.695999999999998	55.177	71.627	Ddx23
NM_001110140	0.162	43.225	74.415	59.951	Atp2a2
NM_145478	0.0	11.655	93.292	46.758	Pim3
NM_019419	0.0	5.896	46.708999999999996	76.771	Arl6ip1
NM_029632	6.06	0.02	66.539	73.715	Ppp1r11
NM_021510	0.0	37.521	58.589	70.183	Hnrnph1
NM_178627	0.0	65.553	63.27	67.82300000000001	Poldip3
NM_025562	0.0	0.129	43.552	79.03399999999999	Fis1
NM_026885	0.0	62.65	44.4	80.055	Chmp2a
NM_011956	0.0	0.0	81.176	55.063	Nubp2
NM_008707	0.0	132.053	66.32	67.967	Nmt1
NM_175639	0.0	78.26899999999999	70.99	63.699	Wdr43
NM_023138	0.154	47.073	60.466	70.058	Map2k2
NM_134101	0.247	35.918	55.343	73.292	Psmd2
NM_011965	0.0	31.401	54.662	73.28699999999999	Psma1
NM_026308	0.0	0.0	59.983000000000004	69.135	Rpp21
NM_172609	0.35600000000000004	34.125	50.418	76.72	Tomm22
NM_145620	0.0	10.898	59.827	69.59	Rrp9
NM_054081	0.0	41.535	79.487	57.61600000000001	Mta1
NM_138599	0.0	22.281	76.408	59.238	Tomm70a
NM_010436	0.0	0.0	67.773	64.377	H2afx
NR_030259	0.0	0.0	111.75200000000001	35.964	Mir546
NM_001009818	0.0	60.019	66.369	66.877	Sept11
NM_139200	0.0	92.12799999999999	61.379	71.08800000000001	Cytip
NM_146165	0.0	101.76899999999999	82.992	57.415	Aimp2
NM_011787	0.198	38.56	60.56399999999999	70.868	Amfr
NR_002840	0.142	30.429000000000002	79.891	58.138000000000005	Gas5
NM_026859	0.428	36.147	55.271	74.759	Maf1
NM_001081392	0.122	60.424	88.84299999999999	53.173	Mdn1
NM_028720	0.109	32.734	63.144	69.105	Glyr1
NM_009296	0.0	148.11	44.978	83.615	Supt4a
NM_026063	0.0	0.0	55.223	73.521	Uqcc2
NM_001289723	0.163	70.251	60.548	72.13600000000001	Wipf1
NM_025624	0.0	80.182	58.635	73.623	Pomp
NM_001081290	7.902	94.54	79.58800000000001	73.286	Prrc2c
NM_026277	0.0	59.111999999999995	61.343999999999994	71.488	Nob1
NM_026964	0.0	61.538000000000004	51.172	78.434	Ccdc124
