id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name	pc1	pc2	kmeans
NM_023154	chr7	24587543	24608926	+	1475.0	1	Ethe1|0610025L15Rik|Hsco|-|7 A3|7|protein-coding	7.643	14.522	28.921	4.752	18.962	Ethe1	-0.0007664586822047813	-0.008773996589708372	0
NM_001025246	chr2	93187584	93201757	+	2652.0	1	Trp53i11|Tp53i11|RP23-217C12.1|2 E1|2|protein-coding	8.612	14.889	23.071	8.093	16.453	Trp53i11	-0.00047077210215247295	-0.005967133874071512	0
NM_019662	chr8	104628066	104631321	-	1568.0	1	Rrad|REM3|Rad|-|8 D3|8|protein-coding	8.259	17.711	28.431	6.175	21.366	Rrad	-0.0008367199654935908	-0.008533566455579863	0
NM_001045514	chr4	63367128	63403445	-	5451.0	1	Akna|AI597013|mKIAA1968|RP23-340H1.6|4 C1|4|protein-coding	63.604	97.534	118.256	55.027	97.281	Akna	-0.0021675505037027395	-0.02658476374962304	0
NM_010508	chr16	91485215	91510522	+	7000.0	1	Ifnar1|CD118|Ifar|Ifnar|Ifrc|Infar|-|16 C3.3|16 52.98 cM|protein-coding	14.093	20.321	25.86	12.909	22.076	Ifnar1	-0.0005030886482470419	-0.005108956674805722	0
NR_030443	chr10	76207326	76207409	-	83.0	1	Mir678|Mirn678|mmu-mir-678|-|10|10|ncRNA	6.059	12.357	25.131	9.577	23.047	Mir678	-0.0009416033395028613	-0.0049720792003216715	0
NM_020578	chr17	73804841	73832093	+	3650.0	1	Ehd3|Ehd2|-|17 E2|17 45.2 cM|protein-coding	8.083	14.514	21.38	4.999	20.198	Ehd3	-0.0008329399413435749	-0.005571727442974046	0
NM_001030296	chr13	55464267	55473155	+	1355.0	1	Prr7|XM_484263|-|13 B1|13|protein-coding	9.959	17.613	21.582	11.759	21.176	Prr7	-0.0006086245619017512	-0.004038649825753167	0
NM_033374	chr11	34226821	34783905	-	6362.0	1	Dock2|AI662014|AW122239|CED-5|Hch|MBC|RP23-32J15.2|11|11 A5|protein-coding	33.839	59.666	78.35300000000002	37.277	77.297	Dock2	-0.0025039455158983887	-0.01540353891767649	0
NM_007485	chr19	4425457	4439424	-	1331.0	1	Rhod|AI326383|Arhd|Rho|RhoHP1|RhoM|-|19 A|19|protein-coding	2.928	9.928	12.168	1.71	12.041	Rhod	-0.0005731396047269372	-0.004189562272313968	0
