id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name
NM_025894	NM_025894	chr11	107479528	107498036	+	1710.0	1	Psmd12|1500002F15Rik|AI480719|P55|RP23-319N7.1|11 E1|11|protein-coding	98.71600000000001	85.95200000000001	66.635	104.271	38.729	Psmd12
NM_010256	NM_010256	chr16	91621397	91646972	-	3303.0	1	Gart|Gaps|Prgs|-|16 C3-C4|16 53.18 cM|protein-coding	81.494	62.4	38.348	84.271	19.19	Gart
NM_020619	NM_020619	chr6	83115506	83118898	+	2764.0	1	Mogs|1810017N02Rik|AI181835|Gcs1|-|6|6 D1|protein-coding	93.838	73.227	48.165	97.554	31.274	Mogs
NM_134040	NM_134040	chr12	13219307	13249174	-	2441.0	1	Ddx1|AA409185|DBP-RB|-|12 A1.1|12|protein-coding	78.888	71.459	52.125	92.094	22.514	Ddx1
NM_007842	NM_007842	chr1	153455758	153487660	-	4583.0	1	Dhx9|AI326842|Ddx9|HEL-5|NDHII|RHA|mHEL-5|-|1 G3|1 65.37 cM|protein-coding	97.514	84.565	72.205	108.454	39.223	Dhx9
NM_009408	NM_009408	chr2	160645897	160722763	+	3823.0	1	Top1|AI467334|D130064I21Rik|Top-1|RP23-305K11.1|2 H2-3|2 80.96 cM|protein-coding	97.025	85.23899999999999	66.233	94.697	32.239000000000004	Top1
NM_001111292	NM_001111292	chr2	103767107	103797078	-	3477.0	1	Caprin1|AL022980|Caprin-1|Gpiap|Gpiap1|Mmgpip137|P137|rng105|RP23-266F3.4|2 E2|2|protein-coding	128.906	113.473	92.444	123.271	61.943999999999996	Caprin1
NM_178602	NM_178602	chr9	71478437	71485983	-	2242.0	1	Polr2m|AA407243|AA408799|AI303746|AW553238|D9Wsu138e|Grinl1a|mKIAA4185|-|9 D|9 39.85 cM|protein-coding	132.621	117.51299999999999	110.822	121.589	63.068000000000005	Polr2m
NM_025824	NM_025824	chr1	58393136	58406548	+	2819.0	1	Bzw1|1200015E15Rik|mKIAA0005|-|1|1 C2|protein-coding	107.34899999999999	115.37299999999999	92.056	110.8	47.86600000000001	Bzw1
NM_023172	NM_023172	chr15	58933810	58939489	+	645.0	1	Ndufb9|1190008J14Rik|-|15|15 D2|protein-coding	122.8	138.155	112.869	121.891	62.119	Ndufb9
NM_010749	NM_010749	chr6	122309010	122317677	+	2213.0	1	M6pr|CD-MPR|Mpr46|-|6 F1|6 57.52 cM|protein-coding	123.84899999999999	94.383	66.33	130.82299999999998	60.53	M6pr
NM_138659	NM_138659	chr11	75486777	75509447	+	7437.0	1	Prpf8|AU019467|D11Bwg0410e|DBF3/PRP8|Prp8|Sfprp8l|RP23-384C18.4|11 B5|11 45.92 cM|protein-coding	118.61200000000001	105.73700000000001	93.584	114.221	52.165	Prpf8
NM_013693	NM_013693	chr17	35199367	35202007	-	1647.0	1	Tnf|DIF|TNF-a|TNF-alpha|TNFSF2|TNFalpha|Tnfa|Tnfsf1a|-|17 B1|17 18.59 cM|protein-coding	84.80799999999999	36.046	15.669	101.34899999999999	23.26	Tnf
NM_021336	NM_021336	chr7	66060336	66074587	+	1239.0	1	Snrpa1|1500015N06Rik|-|7 C|7|protein-coding	78.404	68.928	50.141999999999996	91.244	20.279	Snrpa1
NM_011801	NM_011801	chr8	111768473	111854310	-	1206.0	1	Cfdp1|AA408409|Bcnt|Bucentaur|Cfdp|cp27|-|8 E1|8|protein-coding	106.75	93.677	73.59100000000001	99.76299999999999	38.41	Cfdp1
NM_001029841	NM_001029841	chr15	66780819	66831829	-	2856.0	1	Sla|Slap|Slap-1|-|15 D2|15 29.3 cM|protein-coding	132.987	78.53399999999999	57.181999999999995	123.12899999999999	57.32899999999999	Sla
NM_181470	NM_181470	chr10	13178638	13193137	-	1755.0	1	Ltv1|2610020N02Rik|-|10 A2|10|protein-coding	84.58	73.634	58.005	75.96600000000001	15.23	Ltv1
NM_172015	NM_172015	chr13	49682130	49734267	+	4360.0	1	Iars|2510016L12Rik|AI327140|AU044614|E430001P04Rik|ILRS|-|13 A5|13|protein-coding	84.613	75.75399999999999	69.435	82.884	18.877	Iars
NM_001110809	NM_001110809	chr3	88043106	88055994	+	1626.0	1	Gpatch4|2610029K21Rik|Gpatc4|-|3 F1|3|protein-coding	82.42399999999999	59.461000000000006	40.094	70.616	9.698	Gpatch4
