chr_name	chromosome_id	end	id	id_0_1um_pcc	id_100um_k99a	id_10um_k99a	id_10um_pcc	id_no_peptide	start	tag_count_0_1um_pcc	tag_count_100um_k99a	tag_count_10um_k99a	tag_count_10um_pcc	tag_count_no_peptide
chr2	2	166698501	18906	18906.0	0.0	0.0	15893.0	0.0	166697697	35.2	0.0	0.0	35.2	0.0
chr8	10	121832973	24987	24987.0	0.0	0.0	22963.0	0.0	121832473	19.1	0.0	0.0	19.1	0.0
chr9	12	110647831	32934	32934.0	0.0	0.0	31833.0	0.0	110647331	9.26	0.0	0.0	9.24	0.0
chr2	2	167145561	32721	32721.0	0.0	0.0	31558.0	0.0	167145061	9.26	0.0	0.0	9.24	0.0
chr10	9	67493846	20863	20863.0	0.0	0.0	18321.0	0.0	67492616	29.0	0.0	0.0	28.9	0.0
chr17	18	28194004	21123	21123.0	0.0	0.0	18595.0	0.0	28193376	28.4	0.0	0.0	28.3	0.0
chr8	10	95678807	32151	32151.0	0.0	0.0	30922.0	0.0	95678307	9.88	0.0	0.0	9.82	0.0
chr18	20	68140628	32591	32591.0	0.0	0.0	31404.0	0.0	68140128	9.88	0.0	0.0	9.82	0.0
chr9	12	69294474	32200	32200.0	0.0	0.0	30969.0	0.0	69293974	9.88	0.0	0.0	9.82	0.0
chr3	4	100439427	31912	31912.0	0.0	0.0	30643.0	0.0	100438927	9.88	0.0	0.0	9.82	0.0
chr7	8	114084240	32122	32122.0	0.0	0.0	30874.0	0.0	114083740	9.88	0.0	0.0	9.82	0.0
chr16	17	50070292	32519	32519.0	0.0	0.0	31320.0	0.0	50069792	9.88	0.0	0.0	9.82	0.0
chr6	7	99410278	30150	30150.0	0.0	0.0	28677.0	0.0	99409778	11.7	0.0	0.0	11.6	0.0
chr7	8	118254261	30186	30186.0	0.0	0.0	28713.0	0.0	118253761	11.7	0.0	0.0	11.6	0.0
chr8	10	81634856	30199	30199.0	0.0	0.0	28728.0	0.0	81634356	11.7	0.0	0.0	11.6	0.0
chr12	15	70979520	30309	30309.0	0.0	0.0	28852.0	0.0	70978868	11.7	0.0	0.0	11.6	0.0
chr2	2	167363061	30546	30546.0	0.0	0.0	29124.0	0.0	167362395	11.1	0.0	0.0	11.0	0.0
chr2	2	117308434	30531	30531.0	0.0	0.0	29105.0	0.0	117307934	11.1	0.0	0.0	11.0	0.0
chr2	2	104375128	23622	23622.0	0.0	0.0	21558.0	0.0	104374504	21.6	0.0	0.0	21.4	0.0
chr11	13	68483529	31517	31517.0	0.0	0.0	30162.0	0.0	68483029	10.5	0.0	0.0	10.4	0.0
chr1	1	52128928	31080	31080.0	0.0	0.0	29698.0	0.0	52128428	10.5	0.0	0.0	10.4	0.0
chr13	14	41478922	31575	31575.0	0.0	0.0	30240.0	0.0	41478290	10.5	0.0	0.0	10.4	0.0
chr2	2	131096872	31150	31150.0	0.0	0.0	29795.0	0.0	131096372	10.5	0.0	0.0	10.4	0.0
chr13	14	75789802	31586	31586.0	0.0	0.0	30255.0	0.0	75789302	10.5	0.0	0.0	10.4	0.0
chr9	12	44532525	31423	31423.0	0.0	0.0	30063.0	0.0	44532025	10.5	0.0	0.0	10.4	0.0
chr7	8	19918783	29571	29571.0	0.0	0.0	28204.0	0.0	19918283	12.3	0.0	0.0	12.1	0.0
chr11	13	5000680	29709	29709.0	0.0	0.0	28295.0	0.0	5000002	12.3	0.0	0.0	12.1	0.0
chr4	5	152138876	22867	22867.0	0.0	0.0	20691.0	0.0	152138248	23.5	0.0	0.0	23.1	0.0
chr13	14	59841143	32688	33793.0	0.0	0.0	32688.0	0.0	59840643	8.64	0.0	0.0	8.66	0.0
chr15	16	96498344	32762	33867.0	0.0	0.0	32762.0	0.0	96497844	8.64	0.0	0.0	8.66	0.0
chr1	1	52681872	32132	33217.0	0.0	0.0	32132.0	0.0	52681372	8.64	0.0	0.0	8.66	0.0
chr1	1	52132309	32130	33216.0	0.0	0.0	32130.0	0.0	52131809	8.64	0.0	0.0	8.66	0.0
chr4	5	143158362	32302	33420.0	0.0	0.0	32302.0	0.0	143157862	8.64	0.0	0.0	8.66	0.0
chr3	4	68906293	32246	33350.0	0.0	0.0	32246.0	0.0	68905793	8.64	0.0	0.0	8.66	0.0
chr15	16	30546993	32738	33839.0	0.0	0.0	32738.0	0.0	30546493	8.64	0.0	0.0	8.66	0.0
chr6	7	88065825	32391	33498.0	0.0	0.0	32391.0	0.0	88065325	8.64	0.0	0.0	8.66	0.0
chr11	13	67011003	32599	33719.0	0.0	0.0	32599.0	0.0	67010503	8.64	0.0	0.0	8.66	0.0
chr4	5	56944041	28024	28024.0	0.0	0.0	26550.0	0.0	56943411	14.2	0.0	0.0	13.9	0.0
chr4	5	6817344	28455	28455.0	0.0	0.0	27029.0	0.0	6816844	13.6	0.0	0.0	13.3	0.0
chr11	13	69073498	21541	21541.0	0.0	0.0	19227.0	0.0	69072794	27.2	0.0	0.0	26.6	0.0
chr17	18	31858602	29251	29251.0	0.0	0.0	27991.0	0.0	31858102	13.0	0.0	0.0	12.7	0.0
chr3	4	20228141	28877	28877.0	0.0	0.0	27526.0	0.0	20227433	13.0	0.0	0.0	12.7	0.0
chr18	20	60632863	27899	27899.0	0.0	0.0	26438.0	0.0	60632363	14.8	0.0	0.0	14.4	0.0
chr7	8	75584852	26699	26699.0	0.0	0.0	25275.0	0.0	75584224	16.1	0.0	0.0	15.6	0.0
chr1	1	180923089	24877	24877.0	0.0	0.0	23164.0	0.0	180922459	19.1	0.0	0.0	18.5	0.0
chr6	7	99250576	24953	24953.0	0.0	0.0	23260.0	0.0	99249950	19.1	0.0	0.0	18.5	0.0
chr4	5	101203006	25202	25202.0	0.0	0.0	23572.0	0.0	101202506	18.5	0.0	0.0	17.9	0.0
chr16	17	55583413	25775	25775.0	0.0	0.0	24237.0	0.0	55582913	17.9	0.0	0.0	17.3	0.0
