chr_name	chromosome_id	end	id	id_0_1um_pcc	id_100um_k99a	id_10um_k99a	id_10um_pcc	id_no_peptide	start	tag_count_0_1um_pcc	tag_count_100um_k99a	tag_count_10um_k99a	tag_count_10um_pcc	tag_count_no_peptide
chr13	14	20147911	32499	0.0	0.0	0.0	0.0	32499.0	20147411	0.0	0.0	0.0	0.0	8.34
chr13	14	20155897	32500	0.0	0.0	0.0	0.0	32500.0	20155397	0.0	0.0	0.0	0.0	8.34
chr13	14	35885097	32505	0.0	0.0	0.0	0.0	32505.0	35884597	0.0	0.0	0.0	0.0	8.34
chr13	14	48860840	32510	0.0	0.0	0.0	0.0	32510.0	48860340	0.0	0.0	0.0	0.0	8.34
chr13	14	78163620	32519	0.0	0.0	0.0	0.0	32519.0	78163120	0.0	0.0	0.0	0.0	8.34
chr13	14	91511359	32521	0.0	0.0	0.0	0.0	32521.0	91510859	0.0	0.0	0.0	0.0	8.34
chr13	14	113105503	32523	0.0	0.0	0.0	0.0	32523.0	113105003	0.0	0.0	0.0	0.0	8.34
chr14	11	18427620	32525	0.0	0.0	0.0	0.0	32525.0	18427120	0.0	0.0	0.0	0.0	8.34
chr14	11	31166915	32528	0.0	0.0	0.0	0.0	32528.0	31166415	0.0	0.0	0.0	0.0	8.34
chr14	11	45314390	32530	0.0	0.0	0.0	0.0	32530.0	45313890	0.0	0.0	0.0	0.0	8.34
chr14	11	53831633	32534	0.0	0.0	0.0	0.0	32534.0	53831133	0.0	0.0	0.0	0.0	8.34
chr14	11	61191784	32537	0.0	0.0	0.0	0.0	32537.0	61191284	0.0	0.0	0.0	0.0	8.34
chr14	11	74117138	32541	0.0	0.0	0.0	0.0	32541.0	74116638	0.0	0.0	0.0	0.0	8.34
chr14	11	102069368	32544	0.0	0.0	0.0	0.0	32544.0	102068868	0.0	0.0	0.0	0.0	8.34
chr14	11	118001728	32545	0.0	0.0	0.0	0.0	32545.0	118001228	0.0	0.0	0.0	0.0	8.34
chr14	11	118664530	32546	0.0	0.0	0.0	0.0	32546.0	118664030	0.0	0.0	0.0	0.0	8.34
chr14	11	122755838	32547	0.0	0.0	0.0	0.0	32547.0	122755338	0.0	0.0	0.0	0.0	8.34
chr5	6	107279898	23765	0.0	0.0	0.0	0.0	23765.0	107279398	0.0	0.0	0.0	0.0	21.7
chr15	16	10589376	32548	0.0	0.0	0.0	0.0	32548.0	10588876	0.0	0.0	0.0	0.0	8.34
chr15	16	39256864	32552	0.0	0.0	0.0	0.0	32552.0	39256364	0.0	0.0	0.0	0.0	8.34
chr12	15	16740299	32479	0.0	0.0	0.0	0.0	32479.0	16739799	0.0	0.0	0.0	0.0	8.34
chr18	20	12990200	32627	0.0	0.0	0.0	0.0	32627.0	12989700	0.0	0.0	0.0	0.0	8.34
chr18	20	34357926	32631	0.0	0.0	0.0	0.0	32631.0	34357426	0.0	0.0	0.0	0.0	8.34
chrX	3	167315731	32708	0.0	0.0	0.0	0.0	32708.0	167315231	0.0	0.0	0.0	0.0	8.34
chr1	1	39947337	23667	0.0	0.0	0.0	0.0	23667.0	39946837	0.0	0.0	0.0	0.0	21.7
chrX	3	167406442	32709	0.0	0.0	0.0	0.0	32709.0	167405942	0.0	0.0	0.0	0.0	8.34
chr1	1	172437813	32715	0.0	0.0	0.0	0.0	32715.0	172437313	0.0	0.0	0.0	0.0	7.51
chr1	1	176822633	32716	0.0	0.0	0.0	0.0	32716.0	176822133	0.0	0.0	0.0	0.0	7.51
