chr_name	chromosome_id	end	id	id_0_1um_pcc	id_100um_k99a	id_10um_k99a	id_10um_pcc	id_no_peptide	start	tag_count_0_1um_pcc	tag_count_100um_k99a	tag_count_10um_k99a	tag_count_10um_pcc	tag_count_no_peptide
chr6	7	54844440	31554	0.0	32583.0	31554.0	0.0	0.0	54843806	0.0	6.79	8.21	0.0	0.0
chr10	9	21099886	26761	26761.0	26684.0	0.0	0.0	0.0	21098882	16.1	11.9	0.0	0.0	0.0
chr11	13	104692914	29134	29134.0	29185.0	0.0	0.0	0.0	104692140	13.0	9.61	0.0	0.0	0.0
chr2	2	169515959	27843	0.0	28154.0	27843.0	0.0	0.0	169515459	0.0	10.2	12.3	0.0	0.0
chr11	13	70307142	15642	23767.0	15642.0	0.0	0.0	30303.0	70306128	21.6	31.1	0.0	0.0	11.7
chr5	6	136581921	28935	0.0	29582.0	28935.0	0.0	0.0	136581421	0.0	9.05	10.9	0.0	0.0
chr1	1	85743120	28837	0.0	29388.0	28837.0	0.0	0.0	85742620	0.0	9.05	10.9	0.0	0.0
chr9	12	105486069	25003	25003.0	25487.0	28007.0	0.0	0.0	105485269	19.1	13.0	12.3	0.0	0.0
chr15	16	66979253	26472	26472.0	26298.0	0.0	0.0	0.0	66978753	16.7	12.4	0.0	0.0	0.0
chr13	14	51119799	26447	26447.0	26241.0	0.0	0.0	0.0	51119111	16.7	12.4	0.0	0.0	0.0
chr4	5	149686497	27480	33424.0	29539.0	27480.0	0.0	0.0	149685731	8.64	9.05	12.8	0.0	0.0
chr5	6	52126819	27486	33444.0	29558.0	27486.0	0.0	0.0	52125709	8.64	9.05	12.8	0.0	0.0
chr6	7	39201153	30131	30131.0	31198.0	31548.0	0.0	0.0	39200653	11.7	7.92	8.21	0.0	0.0
chr6	7	67070045	16020	25240.0	16020.0	21101.0	0.0	27421.0	67069215	18.5	30.0	26.0	0.0	15.0
chr16	17	87709748	17780	18656.0	13485.0	17780.0	24238.0	0.0	87708818	36.4	37.3	37.4	17.3	0.0
chr13	14	112419228	2214	18822.0	2214.0	18216.0	0.0	19192.0	112415662	35.8	117.1	35.6	0.0	34.2
chr13	14	17797131	21476	29793.0	21533.0	21476.0	0.0	0.0	17795955	12.3	18.7	25.1	0.0	0.0
chr10	9	82893277	1510	0.0	1510.0	12336.0	21957.0	0.0	82889499	0.0	138.0	62.0	20.8	0.0
chr16	17	36929162	3881	14494.0	3881.0	9457.0	17282.0	0.0	36925998	53.1	90.5	79.8	31.8	0.0
chr5	6	149235186	18651	23149.0	18651.0	24121.0	0.0	27992.0	149234404	22.8	23.8	18.7	0.0	14.2
chr6	7	119338842	30155	30155.0	31229.0	31049.0	0.0	0.0	119338124	11.7	7.92	8.67	0.0	0.0
chr8	10	46891331	27964	35097.0	29688.0	27964.0	0.0	0.0	46890683	6.79	9.05	12.3	0.0	0.0
chr1	1	60828822	28360	28360.0	28067.0	0.0	0.0	0.0	60828044	13.6	10.2	0.0	0.0	0.0
chr13	14	96511391	15246	0.0	12578.0	15246.0	0.0	0.0	96510211	0.0	40.2	47.9	0.0	0.0
chr4	5	56993841	31213	31213.0	31078.0	0.0	0.0	0.0	56993341	10.5	7.92	0.0	0.0	0.0
chr4	5	8704346	31202	31202.0	31064.0	0.0	0.0	0.0	8703846	10.5	7.92	0.0	0.0	0.0
chr1	1	38118243	31071	31071.0	30886.0	0.0	0.0	0.0	38117743	10.5	7.92	0.0	0.0	0.0
chr14	11	76913223	31624	31624.0	31676.0	0.0	0.0	0.0	76912723	10.5	7.92	0.0	0.0	0.0
chr5	6	77384436	31270	31270.0	31150.0	0.0	0.0	0.0	77383782	10.5	7.92	0.0	0.0	0.0
chr10	9	62945656	31467	31467.0	31432.0	0.0	0.0	0.0	62945156	10.5	7.92	0.0	0.0	0.0
chr15	16	35650229	31639	31639.0	31698.0	0.0	0.0	0.0	35649569	10.5	7.92	0.0	0.0	0.0
chr4	5	15272409	26582	0.0	26523.0	26582.0	0.0	0.0	15271909	0.0	11.9	14.1	0.0	0.0
chr9	12	44867265	15183	30764.0	15183.0	20207.0	0.0	29398.0	44866229	11.1	32.2	28.7	0.0	12.5
chr2	2	166027236	27483	27483.0	28151.0	29254.0	0.0	0.0	166026464	14.8	10.2	10.5	0.0	0.0
chr4	5	135074720	11045	11045.0	6236.0	17936.0	19154.0	0.0	135072604	70.4	69.6	36.5	26.6	0.0
chr4	5	6561952	28249	33378.0	30203.0	28249.0	0.0	0.0	6561452	8.64	8.48	11.9	0.0	0.0
chr10	9	96648972	11885	17296.0	11885.0	25389.0	0.0	23853.0	96647480	41.4	42.4	16.4	0.0	21.7
chr4	5	83354460	31217	31217.0	32078.0	33613.0	0.0	0.0	83353960	10.5	7.35	6.39	0.0	0.0
chr8	10	34080736	22160	22160.0	22530.0	22313.0	0.0	0.0	34079992	25.3	17.0	22.8	0.0	0.0
chr18	20	61109041	30432	30432.0	31866.0	30149.0	0.0	0.0	61108281	11.7	7.92	10.0	0.0	0.0
chr3	4	106494764	25529	25529.0	24836.0	0.0	0.0	0.0	106494264	17.9	13.6	0.0	0.0	0.0
chr13	14	28811915	31219	0.0	32320.0	31219.0	0.0	0.0	28811267	0.0	7.35	8.67	0.0	0.0
chr6	7	134115137	31056	0.0	32150.0	31056.0	0.0	0.0	134114637	0.0	7.35	8.67	0.0	0.0
chr2	2	169724199	29699	0.0	30146.0	29699.0	0.0	0.0	169723569	0.0	8.48	10.0	0.0	0.0
chr1	1	60786439	29627	0.0	30046.0	29627.0	0.0	0.0	60785939	0.0	8.48	10.0	0.0	0.0
chr3	4	37057319	29701	0.0	30161.0	29701.0	0.0	0.0	37056819	0.0	8.48	10.0	0.0	0.0
chr10	9	78285468	29928	0.0	30492.0	29928.0	0.0	0.0	78284968	0.0	8.48	10.0	0.0	0.0
chr11	13	67578362	29958	0.0	30534.0	29958.0	0.0	0.0	67577862	0.0	8.48	10.0	0.0	0.0
chr15	16	67145495	15668	18487.0	12254.0	15668.0	28390.0	0.0	67143897	37.0	41.3	46.1	12.1	0.0
chr2	2	173565482	27997	27997.0	28156.0	33585.0	0.0	0.0	173564682	14.2	10.2	6.39	0.0	0.0
chr10	9	59699643	25319	25319.0	25502.0	28686.0	0.0	0.0	59699017	18.5	13.0	11.4	0.0	0.0
chr13	14	45926004	5988	5988.0	3232.0	11432.0	0.0	17470.0	45923546	109.3	98.4	67.1	0.0	40.0
chr2	2	165167227	22813	24901.0	23914.0	22813.0	0.0	0.0	165166555	19.1	14.7	21.4	0.0	0.0
chr10	9	121440533	27736	27736.0	27194.0	0.0	0.0	0.0	121440033	14.8	11.3	0.0	0.0	0.0
chr15	16	80557809	27847	27847.0	27328.0	0.0	0.0	0.0	80557309	14.8	11.3	0.0	0.0	0.0
chr5	6	92150038	27572	27572.0	27038.0	0.0	0.0	0.0	92149338	14.8	11.3	0.0	0.0	0.0
chr1	1	82812492	30482	30482.0	30052.0	0.0	0.0	0.0	82811860	11.1	8.48	0.0	0.0	0.0
chr3	4	146346208	30585	30585.0	30201.0	0.0	0.0	0.0	146345550	11.1	8.48	0.0	0.0	0.0
chr10	9	115586154	30813	30813.0	30502.0	0.0	0.0	0.0	115585526	11.1	8.48	0.0	0.0	0.0
chr5	6	103747806	30643	30643.0	30271.0	0.0	0.0	0.0	103747306	11.1	8.48	0.0	0.0	0.0
chr17	18	13884297	30989	30989.0	30757.0	0.0	0.0	0.0	13883667	11.1	8.48	0.0	0.0	0.0
chr16	17	44728388	30969	30969.0	30740.0	0.0	0.0	0.0	44727888	11.1	8.48	0.0	0.0	0.0
chr9	12	47739809	17191	22174.0	17191.0	22516.0	29344.0	0.0	47738725	25.3	27.1	22.4	11.0	0.0
chr13	14	45852627	14990	21085.0	14990.0	28087.0	0.0	27680.0	45851777	28.4	32.8	12.3	0.0	15.0
chr1	1	160181574	21049	24876.0	21337.0	21049.0	0.0	0.0	160180816	19.1	18.7	26.0	0.0	0.0
chr14	11	27265777	31801	34898.0	32847.0	31801.0	0.0	0.0	27265277	7.41	5.66	8.21	0.0	0.0
chr15	16	12433719	27316	0.0	27305.0	27316.0	0.0	0.0	12433079	0.0	11.3	13.2	0.0	0.0
chr10	9	120666185	27266	0.0	27193.0	27266.0	0.0	0.0	120665685	0.0	11.3	13.2	0.0	0.0
chr11	13	49211337	19332	24056.0	19332.0	0.0	0.0	31993.0	49210325	21.0	22.6	0.0	0.0	9.18
chr9	12	123497998	28341	0.0	28483.0	28341.0	0.0	0.0	123497498	0.0	10.2	11.9	0.0	0.0
chr7	8	113419955	26707	26707.0	26045.0	0.0	0.0	0.0	113419321	16.1	12.4	0.0	0.0	0.0
chr2	2	90537837	26040	29400.0	27488.0	26040.0	0.0	0.0	90536883	12.3	10.7	15.1	0.0	0.0
chr19	21	45222068	21367	21367.0	21020.0	25040.0	0.0	0.0	45221128	27.8	19.8	17.3	0.0	0.0
chr8	10	33664520	22418	22418.0	22152.0	25350.0	0.0	0.0	33663348	24.7	17.5	16.4	0.0	0.0
chr10	9	118728966	26186	0.0	25521.0	26186.0	0.0	0.0	118728466	0.0	13.0	15.1	0.0	0.0
chr15	16	81568955	26267	33104.0	27329.0	26267.0	0.0	0.0	81568217	9.26	11.3	15.1	0.0	0.0
chr19	21	58469400	30453	30453.0	30003.0	0.0	0.0	0.0	58468900	11.7	9.05	0.0	0.0	0.0
chr7	8	123323735	10385	17578.0	10385.0	0.0	0.0	25902.0	123322359	40.1	48.1	0.0	0.0	17.5
chr7	8	24450665	18055	20210.0	17898.0	18055.0	0.0	0.0	24450005	30.9	25.4	36.0	0.0	0.0
chr9	12	65020687	6949	6949.0	3636.0	7171.0	16544.0	0.0	65018119	100.0	93.3	97.2	33.5	0.0
chr18	20	82529985	13503	21361.0	13503.0	19998.0	0.0	26186.0	82528737	27.8	37.3	29.7	0.0	17.5
chr17	18	31082085	18026	30416.0	18026.0	25240.0	34713.0	0.0	31081181	11.7	25.4	16.9	6.35	0.0
chrX	3	36740780	26315	29307.0	28034.0	26315.0	0.0	0.0	36740154	13.0	10.7	15.1	0.0	0.0
chr12	15	34806949	30736	0.0	31553.0	30736.0	0.0	0.0	34806325	0.0	7.92	9.12	0.0	0.0
chr2	2	52417343	30547	0.0	30957.0	30547.0	0.0	0.0	52416843	0.0	7.92	9.12	0.0	0.0
chr10	9	111408371	30812	30812.0	31446.0	32382.0	0.0	0.0	111407871	11.1	7.92	7.76	0.0	0.0
chr11	13	83828844	30727	35198.0	32680.0	30727.0	0.0	0.0	83828182	6.17	6.79	9.12	0.0	0.0
chr15	16	5511435	5597	27827.0	5597.0	23797.0	0.0	28844.0	5508801	14.8	74.7	19.6	0.0	13.3
chr11	13	51834135	13361	13361.0	8818.0	16251.0	32591.0	28748.0	51831951	58.0	54.9	43.3	8.66	13.3
chr9	12	48548928	29064	29064.0	28435.0	0.0	0.0	0.0	48548428	13.0	10.2	0.0	0.0	0.0
chr7	8	117470275	29016	29016.0	28370.0	0.0	0.0	0.0	117469623	13.0	10.2	0.0	0.0	0.0
chr10	9	117811001	29103	29103.0	28531.0	0.0	0.0	0.0	117810501	13.0	10.2	0.0	0.0	0.0
chr5	6	134214198	28958	28958.0	28284.0	0.0	0.0	0.0	134213698	13.0	10.2	0.0	0.0	0.0
chr17	18	26533801	29248	29248.0	28769.0	0.0	0.0	0.0	26533301	13.0	10.2	0.0	0.0	0.0
chr1	1	52171354	28809	28809.0	28062.0	0.0	0.0	0.0	52170854	13.0	10.2	0.0	0.0	0.0
chr5	6	64675412	22833	0.0	21401.0	22833.0	0.0	0.0	64674760	0.0	18.7	21.4	0.0	0.0
chr8	10	72543420	33583	33583.0	32626.0	0.0	0.0	0.0	72542920	8.64	6.79	0.0	0.0	0.0
chr18	20	12158619	33945	33945.0	32770.0	0.0	0.0	0.0	12158119	8.64	6.79	0.0	0.0	0.0
chr7	8	83643914	33545	33545.0	32611.0	0.0	0.0	0.0	83643272	8.64	6.79	0.0	0.0	0.0
chr17	18	70983342	33926	33926.0	32761.0	0.0	0.0	0.0	70982842	8.64	6.79	0.0	0.0	0.0
