id	chr_name	start	end	chromosome_id	tag_count_13_11_25	id_13_11_25	tag_count_13_11_20	id_13_11_20	tag_count_14_06_11	id_14_06_11
4	chr12	108630493	108650409	15	882.9	4	975.8	9.0	1374.2	86.0
6	chr2	167932027	167951815	2	808.1	6	926.7	12.0	1358.0	88.0
9	chr1	136127469	136142969	1	684.6	9	791.2	25.0	2004.0	25.0
10	chr1	91052218	91066900	1	683.1	10	825.2	23.0	1651.9	51.0
11	chr2	132017343	132031497	2	662.1	11	613.9	64.0	1931.5	28.0
12	chr3	89381362	89397194	4	647.0	12	863.9	15.0	2939.3	5.0
15	chr2	93446775	93461867	2	628.4	15	731.1	32.0	979.1	251.0
16	chr7	125550727	125563495	8	623.4	16	439.3	194.0	1212.0	129.0
17	chr11	11686921	11703995	13	584.8	17	629.1	59.0	3593.9	3.0
19	chr1	88276422	88278550	1	552.6	19	701.8	35.0	1184.3	141.0
20	chr14	27228282	27244482	11	547.1	20	410.0	243.0	910.4	292.0
22	chr2	165876805	165891601	2	541.1	22	473.3	148.0	1065.0	197.0
23	chr5	124014494	124032678	6	533.6	23	980.5	8.0	2409.6	14.0
24	chr13	63238985	63252431	14	511.0	24	682.5	37.0	578.3	897.0
27	chr1	135126418	135135434	1	498.4	27	558.0	89.0	1310.3	101.0
28	chr1	184034640	184048608	1	497.9	28	435.1	200.0	1433.4	78.0
30	chr7	125600507	125609217	8	492.9	30	594.1	68.0	1266.4	113.0
33	chr19	4293064	4305634	21	487.9	33	630.2	56.0	1358.0	90.0
34	chr5	139376486	139386904	6	486.9	34	467.0	157.0	1188.1	140.0
35	chr11	61651834	61661726	13	483.4	35	854.0	17.0	1248.2	119.0
36	chr2	117332485	117345195	2	482.4	36	576.8	79.0	1081.2	189.0
39	chr2	32536147	32546347	2	476.3	39	580.5	77.0	1325.5	96.0
40	chr8	119829310	119841844	10	475.8	40	668.3	43.0	1624.2	56.0
41	chr6	136934643	136946821	7	471.8	41	355.6	390.0	1043.1	212.0
44	chr2	173022144	173032546	2	464.8	44	531.3	108.0	1319.8	97.0
45	chr9	57636874	57648100	12	464.8	45	558.5	88.0	1420.0	79.0
46	chr4	40842279	40853359	5	459.8	46	328.4	494.0	464.7	1478.0
47	chr6	48673152	48687838	7	458.3	47	740.5	31.0	1880.9	32.0
49	chr6	125228399	125238957	7	456.8	49	752.5	29.0	1533.6	61.0
50	chr10	60344074	60354380	9	456.8	50	536.0	104.0	1021.1	227.0
51	chr11	32533254	32544250	13	455.8	51	619.2	62.0	2223.5	21.0
52	chr11	54952052	54965674	13	453.8	52	523.0	114.0	1127.0	166.0
53	chr2	9866777	9879901	2	453.3	53	462.8	167.0	1528.8	62.0
54	chr8	88287499	88295561	10	449.2	54	668.9	42.0	1473.5	70.0
59	chr2	31134191	31146381	2	442.2	59	537.6	102.0	1651.0	52.0
60	chr1	164061467	164074977	1	441.7	60	775.5	26.0	1459.1	72.0
62	chr10	22295128	22307660	9	439.2	62	574.7	81.0	696.6	589.0
63	chr2	24382845	24392081	2	435.2	63	51.8	19561.0	1049.7	207.0
64	chr6	48736314	48749706	7	435.2	64	341.0	432.0	1319.8	98.0
66	chr6	121240688	121251956	7	433.2	66	525.6	113.0	895.1	308.0
