id	chr_name	transcription_start	transcription_end	strand	score	rpkm	chromosome_id	notx_tag_count	kla_1h_tag_count	kla_6h_tag_count	kla_12h_tag_count	kla_24h_tag_count	notx_total_tags	kla_1h_total_tags	kla_6h_total_tags	kla_12h_total_tags	kla_24h_total_tags
10	chr3	5576303	5578014	0	5.829831348788542	3.6670774572614366	4	89	40	34	62	89	10496748	9008778	11240697	10011766	9257648
13	chr3	5860530	5860825	0	17159.428222971765	17312.896375598306	4	54855	36237	49943	57003	58273	10496748	9008778	11240697	10011766	9257648
21	chr3	7553877	7555617	0	1.0616585170972603	0.6660754365421286	4	13	8	11	12	14	10496748	9008778	11240697	10011766	9257648
31	chr3	7612700	7638719	0	9.42459931594945	4.272299545913185	4	16	1409	2244	1182	709	10496748	9008778	11240697	10011766	9257648
32	chr3	7639258	7654062	0	4.516108407307808	2.1688590295006027	4	9	337	674	351	235	10496748	9008778	11240697	10011766	9257648
33	chr3	7654714	7669018	0	1.9660226541863908	0.9476239476713658	4	7	80	264	195	132	10496748	9008778	11240697	10011766	9257648
35	chr3	7671649	7683949	0	1.7088005619777171	0.8370685135428023	4	5	69	228	132	81	10496748	9008778	11240697	10011766	9257648
36	chr3	7684495	7691708	0	1.566898288016448	0.8148269564348888	4	2	26	126	87	53	10496748	9008778	11240697	10011766	9257648
39	chr3	7696870	7701786	0	1.322016611698112	0.7197261026085177	4	8	22	76	42	29	10496748	9008778	11240697	10011766	9257648
61	chr3	8746899	8748352	0	2.8331825361456042	1.8288640795622007	4	59	6	19	20	29	10496748	9008778	11240697	10011766	9257648
62	chr3	8766899	8768645	0	2.336159831008789	1.4649110680628887	4	59	19	9	19	22	10496748	9008778	11240697	10011766	9257648
65	chr3	8923122	8924930	0	4.057887012140963	2.530993973804776	4	54	33	29	57	56	10496748	9008778	11240697	10011766	9257648
68	chr3	9004248	9005101	0	2.5708009768979516	1.8261267893795523	4	26	9	11	9	23	10496748	9008778	11240697	10011766	9257648
86	chr3	9499628	9500497	0	1.1690446561607812	0.8273274685040518	4	10	2	7	11	6	10496748	9008778	11240697	10011766	9257648
88	chr3	9505706	9507193	0	2.3191716162179445	1.4914690418428218	4	33	9	28	22	19	10496748	9008778	11240697	10011766	9257648
89	chr3	9513293	9514093	0	3.0173095384531257	2.1716054962918463	4	32	7	15	13	20	10496748	9008778	11240697	10011766	9257648
93	chr3	9608546	9609431	0	1.3441125187710101	0.9477848538731518	4	19	3	5	7	8	10496748	9008778	11240697	10011766	9257648
117	chr3	9974528	9975103	0	2.458177956353384	1.9091251624189274	4	18	6	9	4	18	10496748	9008778	11240697	10011766	9257648
122	chr3	10016665	10021565	0	28.508440108070655	15.526668368473477	4	1902	151	458	615	680	10496748	9008778	11240697	10011766	9257648
124	chr3	10022828	10024184	0	6.702472826707642	4.375934344279905	4	121	28	59	47	42	10496748	9008778	11240697	10011766	9257648
125	chr3	10024731	10026685	0	1.4432934300891973	0.8897473158720045	4	54	1	6	12	14	10496748	9008778	11240697	10011766	9257648
127	chr3	10087607	10088154	0	1.8545873277070022	1.4593976025923054	4	17	4	8	10	1	10496748	9008778	11240697	10011766	9257648
130	chr3	10205738	10206159	0	1.38958495582807	1.1844636940470725	4	12	3	3	4	3	10496748	9008778	11240697	10011766	9257648
140	chr3	10331175	10331567	0	1.8604317535161219	1.6279895902709076	4	7	4	2	8	11	10496748	9008778	11240697	10011766	9257648
141	chr3	10342789	10343919	0	2.0469113530685052	1.3788791141734196	4	12	10	14	22	20	10496748	9008778	11240697	10011766	9257648
144	chr3	10419171	10419485	0	1.373369052798169	1.3329164770343056	4	11	1	1	3	5	10496748	9008778	11240697	10011766	9257648
