id	chr_name	transcription_start	transcription_end	strand	score	rpkm	chromosome_id	sequence_identifier	notx_tag_count	kla_1h_tag_count	kla_6h_tag_count	kla_12h_tag_count	kla_24h_tag_count	notx_total_tags	kla_1h_total_tags	kla_6h_total_tags	kla_12h_total_tags	kla_24h_total_tags
20	chr3	7503423	7553586	0	1.4822679455902168	0.6309325760940034	4	NM_173181	235	390	324	290	344	10496748	9008778	11240697	10011766	9257648
119	chr3	10012551	10015019	0	71.72908750907106	42.74888263829951	4	NM_001272097	2101	378	846	982	972	10496748	9008778	11240697	10011766	9257648
150	chr3	14533842	14571052	0	1.4764407802298425	0.6463808505034545	4	NM_001163580	338	157	213	242	253	10496748	9008778	11240697	10011766	9257648
151	chr3	14578617	14606295	0	1.1222692920517148	0.5056404858867809	4	NM_007892	95	171	214	124	96	10496748	9008778	11240697	10011766	9257648
158	chr3	14641702	14663052	0	6.261880898285723	2.8954459371856633	4	NM_024495	179	591	1166	692	464	10496748	9008778	11240697	10011766	9257648
182	chr3	16183208	16217077	0	9.393731560225413	4.1498683939553445	4	NM_001145919	1640	1209	1676	1363	1142	10496748	9008778	11240697	10011766	9257648
200	chr3	19188215	19220784	0	1.158676456341732	0.5138092222648359	4	NR_045575	240	122	123	166	186	10496748	9008778	11240697	10011766	9257648
216	chr3	19894848	19899026	0	3.633954692696833	2.018990500030427	4	NR_027985	90	38	100	86	108	10496748	9008778	11240697	10011766	9257648
221	chr3	19957220	20008983	0	2.3616251194918267	1.0023138449223465	4	NM_007752	23	202	1292	747	331	10496748	9008778	11240697	10011766	9257648
228	chr3	20057799	20118470	0	1.3558943591582768	0.5671353977887758	4	NR_105046	528	146	269	350	428	10496748	9008778	11240697	10011766	9257648
250	chr3	22076625	22216631	0	4.1509360602857015	1.6134147247137913	4	NM_030732	3576	1352	2364	2204	1802	10496748	9008778	11240697	10011766	9257648
286	chr3	27182973	27244964	0	7.780744916529226	3.2481131049681795	4	NM_178772	5877	176	1155	1525	1338	10496748	9008778	11240697	10011766	9257648
294	chr3	27317040	27339631	0	2.2675315652933765	1.0425209874821255	4	NM_009425	5	5	587	274	307	10496748	9008778	11240697	10011766	9257648
306	chr3	27938676	28133256	0	1.149885420707932	0.4348499491838243	4	NM_008875	1147	536	680	928	941	10496748	9008778	11240697	10011766	9257648
318	chr3	28805757	28807447	0	5.740866688262713	3.618028757887323	4	NM_026517	60	67	73	49	57	10496748	9008778	11240697	10011766	9257648
323	chr3	30602102	30619684	0	1.8659105353021141	0.8801205879752197	4	NM_030557	195	121	136	156	166	10496748	9008778	11240697	10011766	9257648
329	chr3	30792849	30821304	0	3.8092197325594985	1.7115816724358142	4	NM_027016	569	449	419	451	548	10496748	9008778	11240697	10011766	9257648
357	chr3	31095051	31122977	0	8.209651756194107	3.6956251232415327	4	NM_011386	314	840	1706	1140	1162	10496748	9008778	11240697	10011766	9257648
