id	chr_name	start	end	chromosome_id	tag_count_14_06_11	id_14_06_11	tag_count_13_11_20	id_13_11_20	tag_count_13_11_25	id_13_11_25
1	chr14	54216079	54229175	11	5091.2	1	2145.7	1.0	640.5	13.0
8	chr14	54150291	54187579	11	2748.4	8	1469.0	3.0	447.2	56.0
10	chr6	41531234	41559826	7	2653.0	10	674.6	40.0	77.8	8237.0
15	chr14	54188423	54214895	11	2328.5	15	248.4	1058.0	73.3	9204.0
24	chr15	66792268	66817056	16	2005.0	24	1206.5	4.0	123.5	3029.0
33	chr9	32497491	32522521	12	1856.1	33	278.2	763.0	192.7	912.0
37	chr3	95659748	95676616	4	1786.5	37	291.8	667.0	332.3	160.0
42	chr1	131181469	131201869	1	1733.0	42	900.0	13.0	420.1	76.0
45	chr15	74917942	74936494	16	1713.9	45	593.6	69.0	45.7	16481.0
47	chr7	83645411	83663019	8	1706.3	47	44.5	21849.0	219.8	626.0
53	chr8	81765932	81791412	10	1634.7	53	119.8	6599.0	34.6	20507.0
65	chr12	101003883	101019643	15	1495.4	65	641.1	51.0	545.1	21.0
68	chr8	72346584	72366918	10	1484.9	68	119.2	6674.0	356.9	128.0
80	chr15	73146577	73165715	16	1415.2	80	9.94	43969.0	885.4	3.0
82	chr14	40947120	40961032	11	1410.5	82	334.2	468.0	281.6	298.0
106	chr7	80196766	80211736	8	1287.4	106	395.4	273.0	177.2	1165.0
117	chr9	13296107	13304659	12	1260.6	117	506.7	125.0	439.7	61.0
118	chr1	165835958	165854084	1	1252.1	118	471.2	151.0	13.6	33021.0
123	chr12	110490923	110507661	15	1238.7	123	665.2	46.0	434.7	65.0
128	chr12	107964753	107980879	15	1215.8	128	277.7	771.0	167.6	1362.0
158	chr1	134058237	134068621	1	1139.4	158	580.5	76.0	471.3	42.0
169	chr15	77796199	77811233	16	1123.2	169	207.6	1678.0	325.8	168.0
171	chr14	60729730	60742940	11	1112.7	171	566.9	83.0	17.1	30271.0
192	chr8	14984070	14998320	10	1068.8	192	418.4	227.0	68.8	10172.0
194	chr6	128834098	128845304	7	1066.9	194	234.8	1226.0	144.6	1990.0
204	chr4	63384303	63397469	5	1056.4	204	9.94	43354.0	55.2	13422.0
234	chr9	44482000	44490908	12	1006.8	234	350.4	408.0	148.6	1860.0
235	chr2	18942055	18960305	2	1004.9	235	90.5	10992.0	35.6	20009.0
236	chr17	84113530	84123248	18	1004.9	236	25.6	29592.0	359.9	122.0
244	chr2	166617805	166632503	2	990.6	244	162.6	3188.0	48.7	15318.0
247	chr2	6713073	6723609	2	985.8	247	1043.3	6.0	443.2	57.0
258	chr2	29659285	29674445	2	973.4	258	610.8	65.0	50.7	14678.0
261	chr17	47520868	47534748	18	966.7	261	178.9	2535.0	229.9	546.0
267	chr14	75174453	75183495	11	949.5	267	412.1	238.0	704.2	7.0
279	chr14	75184005	75197945	11	927.6	279	533.9	106.0	704.2	7.0
283	chrX	48422438	48437108	3	917.1	283	288.1	690.0	111.9	3820.0
287	chr3	131151128	131164372	4	913.3	287	408.9	246.0	332.8	159.0
293	chr4	48043061	48049019	5	908.5	293	316.9	547.0	218.3	640.0
294	chr11	107443532	107456094	13	908.5	294	97.8	9791.0	52.2	14334.0
296	chr18	32395822	32400860	20	906.6	296	330.0	486.0	308.2	213.0
305	chr7	16042791	16050491	8	898.0	305	288.1	689.0	200.8	808.0
307	chr2	91077696	91089606	2	896.1	307	126.0	5858.0	93.9	5664.0
315	chr4	140943834	140954688	5	883.7	315	123.9	6100.0	243.4	458.0
321	chr15	80609665	80621821	16	881.8	321	287.1	700.0	278.1	310.0
324	chr2	158715936	158725672	2	876.1	324	8.89	45588.0	337.8	153.0
331	chr19	25050825	25063165	21	872.2	331	303.8	608.0	188.7	973.0
333	chr14	60707914	60718804	11	871.3	333	326.8	505.0	53.2	14083.0
335	chr2	170218816	170224398	2	870.3	335	366.1	353.0	195.3	872.0
342	chr9	32734638	32749450	12	865.6	342	177.8	2574.0	204.8	769.0
344	chr19	4215717	4223593	21	865.6	344	330.0	487.0	297.7	250.0
346	chr4	8909229	8918009	5	864.6	346	337.3	451.0	37.6	19248.0
355	chr2	174610843	174620007	2	855.1	355	484.8	140.0	443.2	58.0
357	chr8	126658929	126668201	10	854.1	357	244.7	1102.0	368.4	112.0
358	chr1	134092029	134100409	1	852.2	358	423.1	221.0	135.5	2362.0
365	chr1	54906036	54917552	1	846.5	365	466.5	160.0	60.2	12135.0
368	chr12	102366539	102376891	15	844.6	368	415.2	232.0	18.1	29532.0
371	chr4	134113668	134124460	5	840.7	371	500.5	128.0	320.7	178.0
385	chr14	122055837	122068299	11	825.5	385	490.5	138.0	39.2	18760.0
387	chr15	97370273	97381553	16	823.6	387	30.9	27039.0	135.0	2406.0
399	chr17	84140057	84150117	18	815.0	399	425.2	216.0	411.6	82.0
400	chr4	150563883	150573643	5	814.0	400	383.8	298.0	215.8	660.0
404	chr14	66226862	66237038	11	811.2	404	530.8	109.0	94.9	5581.0
412	chr5	124073377	124085181	6	806.4	412	356.7	386.0	222.4	608.0
413	chr9	63732439	63743157	12	806.4	413	91.5	10850.0	408.1	83.0
433	chr8	84197043	84204497	10	790.2	433	374.4	324.0	129.0	2712.0
448	chr2	18607394	18610594	2	775.9	448	211.8	1586.0	142.6	2058.0
454	chr2	173045466	173058398	2	773.9	454	200.3	1837.0	64.2	11195.0
460	chr9	44509256	44519720	12	771.1	460	230.6	1288.0	96.9	5266.0
464	chr14	25514216	25525224	11	767.3	464	518.2	118.0	210.3	716.0
466	chr2	166650478	166661252	2	763.4	466	517.7	119.0	79.8	7869.0
477	chr18	50026641	50035341	20	757.7	477	544.9	96.0	137.0	2315.0
486	chr18	56465439	56473983	20	753.9	486	361.4	373.0	47.7	15832.0
487	chr1	180385829	180394579	1	752.9	487	201.9	1798.0	30.1	22368.0
488	chr11	95353449	95360129	13	752.9	488	428.3	209.0	202.8	786.0
490	chr3	88508368	88515582	4	751.0	490	356.7	385.0	259.0	377.0
495	chr4	32246705	32254315	5	748.2	495	511.4	120.0	243.9	454.0
498	chr2	71808653	71817093	2	746.3	498	350.9	405.0	79.8	7863.0
499	chr6	125476556	125486058	7	746.3	499	428.8	207.0	293.1	259.0
506	chr7	100852580	100859424	8	741.5	506	290.2	675.0	281.6	296.0
512	chr12	99557525	99566261	15	739.6	512	337.8	449.0	162.1	1483.0
514	chr5	122230390	122237964	6	738.6	514	342.5	426.0	135.5	2371.0
516	chr11	99161095	99171811	13	738.6	516	424.6	218.0	61.7	11813.0
521	chr12	113421179	113431417	15	737.7	521	387.0	293.0	206.8	742.0
522	chr6	94675244	94688266	7	736.7	522	119.2	6668.0	505.5	25.0
523	chr2	32056558	32066952	2	735.8	523	319.5	538.0	285.6	282.0
537	chr5	142438595	142446335	6	727.2	537	337.8	447.0	281.1	299.0
541	chr4	59329461	59340751	5	722.4	541	40.8	23078.0	133.5	2452.0
548	chr13	51734099	51745259	14	717.6	548	127.6	5738.0	8.03	41075.0
553	chr11	119053420	119059828	13	715.7	553	240.0	1162.0	154.1	1679.0
559	chr17	29392353	29398645	18	712.9	559	380.2	309.0	248.0	427.0
566	chr12	80806255	80818567	15	710.0	566	278.2	764.0	10.0	37719.0
567	chr19	32271034	32278602	21	710.0	567	630.2	57.0	363.9	117.0
573	chr19	47445787	47455519	21	706.2	573	323.7	521.0	37.6	19398.0
575	chr12	107925717	107938079	15	705.2	575	17.3	35155.0	54.7	13631.0
576	chr6	99091366	99098910	7	704.3	576	232.2	1260.0	175.7	1189.0
577	chr12	113040281	113051551	15	704.3	577	148.5	4018.0	368.4	113.0
582	chr2	126495152	126501746	2	699.5	582	328.4	493.0	215.3	664.0
586	chr4	62633528	62638676	5	697.6	586	349.3	410.0	331.8	161.0
589	chr10	22295189	22304785	9	696.6	589	574.7	81.0	439.2	62.0
592	chr8	33600632	33610548	10	694.7	592	133.4	5129.0	163.6	1443.0
599	chr1	38657575	38666745	1	690.0	599	494.2	133.0	346.8	142.0
601	chr11	48852936	48859586	13	690.0	601	300.2	623.0	53.2	14062.0
602	chr2	6702644	6712406	2	689.0	602	1043.3	6.0	388.0	94.0
605	chr17	84179268	84185730	18	688.1	605	18.3	34420.0	33.1	21227.0
608	chr8	119421011	119429069	10	686.1	608	491.6	137.0	391.5	93.0
610	chr12	102692320	102700134	15	686.1	610	142.2	4428.0	253.0	407.0
615	chr11	95831043	95837467	13	682.3	615	604.5	67.0	313.7	192.0
620	chr5	140590599	140599067	6	679.5	620	391.7	279.0	227.9	560.0
622	chr4	135152706	135160214	5	678.5	622	218.6	1463.0	193.2	906.0
627	chr5	122948204	122952914	6	675.7	627	305.4	595.0	238.9	492.0
630	chr10	117825128	117838100	9	674.7	630	24.1	30393.0	290.6	269.0
641	chr19	53420384	53426368	21	670.9	641	179.9	2494.0	208.8	730.0
643	chr7	139949358	139952304	8	669.0	643	174.1	2713.0	155.6	1622.0
646	chr1	54864538	54874276	1	668.0	646	175.2	2655.0	15.1	31663.0
658	chr15	80596758	80607822	16	662.3	658	39.7	23532.0	66.8	10660.0
673	chr9	61663722	61671562	12	654.7	673	367.1	348.0	288.6	274.0
676	chr19	12470439	12480003	21	654.7	676	358.2	383.0	270.5	329.0
677	chr9	63714054	63722668	12	653.7	677	444.5	190.0	40.7	18123.0
679	chr12	33313345	33318395	15	652.7	679	322.7	523.0	268.5	338.0
682	chr2	127313686	127322554	2	651.8	682	545.4	95.0	49.2	15144.0
689	chr10	59894723	59903093	9	649.9	689	361.4	371.0	320.7	179.0
697	chr9	45244476	45253418	12	646.1	697	130.7	5394.0	245.4	443.0
698	chr11	46368111	46378871	13	646.1	698	205.0	1732.0	432.7	67.0
699	chr14	40922142	40932442	11	646.1	699	103.0	8995.0	40.7	18175.0
708	chr17	72932569	72941117	18	643.2	708	9.41	45253.0	64.2	11291.0
709	chr1	87869648	87880106	1	642.2	709	294.9	655.0	223.9	590.0
711	chr12	108760361	108767087	15	642.2	711	58.6	17835.0	57.7	12836.0
712	chr2	3747426	3756136	2	640.3	712	343.1	422.0	68.8	10133.0
728	chr6	114871753	114878399	7	635.6	728	250.5	1031.0	250.5	415.0
732	chr5	96910506	96919350	6	633.7	732	392.7	276.0	98.4	5067.0
737	chr1	106560651	106571477	1	631.8	737	147.5	4073.0	267.5	339.0
738	chr2	32162096	32171666	2	631.8	738	42.4	22527.0	199.3	824.0
744	chr16	10766990	10772782	17	629.8	744	438.8	195.0	279.1	306.0
745	chr2	11190405	11198135	2	628.9	745	264.6	876.0	238.9	490.0
750	chr6	83409425	83419549	7	627.9	750	408.9	247.0	399.5	89.0
753	chr19	10780821	10790363	21	626.0	753	21.4	32143.0	313.2	201.0
756	chr17	6475227	6477395	18	625.1	756	305.4	596.0	216.8	654.0
775	chr12	84173235	84178631	15	618.4	775	261.5	906.0	192.7	913.0
786	chr7	127476030	127481504	8	612.7	786	155.3	3580.0	26.1	24442.0
790	chr10	12805664	12815570	9	611.7	790	380.7	306.0	216.3	656.0
793	chr9	61676108	61683734	12	610.8	793	343.1	423.0	365.9	115.0
796	chr11	34058508	34066890	13	609.8	796	234.3	1232.0	22.6	26438.0
799	chr19	45574495	45579631	21	609.8	799	198.7	1894.0	167.1	1377.0
802	chr10	42895142	42902958	9	608.8	802	24.6	30095.0	324.8	172.0
803	chr14	25468657	25478055	11	608.8	803	346.2	415.0	99.9	4933.0
808	chr9	41077902	41085518	12	606.9	808	264.6	878.0	35.1	20287.0
815	chr6	99519023	99523805	7	604.1	815	156.4	3516.0	98.9	5012.0
822	chr19	53193045	53200773	21	603.1	822	355.6	393.0	156.1	1618.0
824	chr2	22799803	22815153	2	602.2	824	17.3	34920.0	280.1	302.0
826	chr7	25177749	25182083	8	600.3	826	149.0	3969.0		
833	chr1	88581883	88589915	1	597.4	833	592.0	70.0	334.3	156.0
836	chr9	63132213	63136677	12	597.4	836	289.7	681.0	236.4	506.0
